# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(42S 0480 4271 1000)",2.0,1,462,38.5918,68.7761,0,"UTM:(42S 0480 4271 1000)",""
"UTM:(42S 0482 4270 1000)",2.0,1,461,38.5828,68.7990,0,"UTM:(42S 0482 4270 1000)",""
"UTM:(42S 0726 4152 1000)",3.1,1,291,37.4916,71.5620,0,"UTM:(42S 0726 4152 1000)",""
"UTM:(42S 0727 4152 1000)",2.7,1,290,37.4914,71.5733,0,"UTM:(42S 0727 4152 1000)",""
"UTM:(42T 0518 4568 1000)",4.1,1,468,41.2677,69.2209,0,"UTM:(42T 0518 4568 1000)",""
"UTM:(42T 0523 4573 1000)",3.3,2,466,41.3126,69.2807,0,"UTM:(42T 0523 4573 1000)",""
"UTM:(42T 0523 4575 1000)",2.0,1,467,41.3306,69.2808,0,"UTM:(42T 0523 4575 1000)",""
"UTM:(42T 0524 4576 1000)",3.8,1,466,41.3396,69.2928,0,"UTM:(42T 0524 4576 1000)",""
"UTM:(42T 0525 4574 1000)",2.2,1,465,41.3216,69.3047,0,"UTM:(42T 0525 4574 1000)",""
"UTM:(43R 0588 2789 1000)",2.5,1,1564,25.2191,75.8786,0,"UTM:(43R 0588 2789 1000)",""
"UTM:(43R 0698 3149 1000)",4.0,1,1227,28.4569,77.0272,0,"UTM:(43R 0698 3149 1000)",""
"UTM:(43S 0296 3881 1000)",2.0,1,477,35.0557,72.7686,0,"UTM:(43S 0296 3881 1000)",""
"UTM:(43S 0316 3730 1000)",2.0,1,621,33.6986,73.0201,0,"UTM:(43S 0316 3730 1000)",""
"UTM:(43S 0320 3722 1000)",2.0,1,628,33.6272,73.0648,0,"UTM:(43S 0320 3722 1000)",""
"UTM:(43S 0375 4319 1000)",7.5,1,50,39.0157,73.5619,0,"UTM:(43S 0375 4319 1000)",""
"UTM:(43S 0409 4224 1000)",6.9,1,120,38.1638,73.9669,0,"UTM:(43S 0409 4224 1000)",""
"UTM:(43S 0410 4225 1000)",3.4,1,119,38.1730,73.9783,0,"UTM:(43S 0410 4225 1000)",""
"UTM:(43S 0449 4319 1000)",8.3,1,41,39.0230,74.4167,0,"UTM:(43S 0449 4319 1000)",""
"UTM:(43T 0313 4487 1000)",3.1,1,178,40.5173,72.7986,0,"UTM:(43T 0313 4487 1000)",""
"UTM:(43T 0313 4489 1000)",5.5,1,179,40.5353,72.7980,0,"UTM:(43T 0313 4489 1000)",""
"UTM:(43T 0314 4487 1000)",3.1,1,177,40.5175,72.8103,0,"UTM:(43T 0314 4487 1000)",""
"UTM:(43T 0465 4745 1000)",3.1,1,405,42.8613,74.5777,0,"UTM:(43T 0465 4745 1000)",""
"UTM:(43T 0466 4746 1000)",2.0,1,406,42.8704,74.5899,0,"UTM:(43T 0466 4746 1000)",""
"UTM:(43T 0467 4746 1000)",2.2,1,406,42.8704,74.6021,0,"UTM:(43T 0467 4746 1000)",""
"UTM:(43T 0657 4787 1000)",2.7,1,504,43.2239,76.9393,0,"UTM:(43T 0657 4787 1000)",""
